q_id,poi_name
1492,Birds Landing Substation 230kV
1494,Morro Bay Substation  230kV
1497,Corcoran-Guernsey 70kV line
1498,Olive Switching Substation 115kV
15,Mountain Pass
150,Border Substation 69 kV
1501,Midway Substation 115kV
1502,Newark Station 230kV
1503,Lakeville 230kV
1507,Gold Hill 60 kV
1508,Chino Substation 230kV bus
151,Chino Substation 230kV Line
1512,Magunden-Vestal #1 230kV line
1515,Mandalay-Santa Clara 220kV
1517,Vincent Substation 230kV
152,Mesa-Divide #1 115kV line
1520,Victor Substation 230kV
1521,Lugo Substation 220kV
1525,Red Bluff Substation 500kV
1528,Devers Substation 220kV
153,Whirlwind Substation 230kV
1531,Imperial Valley Substation 230 kV
1533,Sycamore Canyon Substation 230kV
1535,Los Banos-Pacheco 70 kV Line via Dinosaur Point Tap 70 kV Line
1536,COLGATE-CHALLENGE
1537,COLGATE-CHALLENGE 60kV
1538,Geysers #3 Cloverdale 115 kV line
1539,Moss Landing 500 kV
154,Windhub 230 kV Substation
1540,Moss Landing Substation 500kV
1545,Grant Eastshore #1 115kV
1546,Elk-Gualala 60 kV
1548,Morgan Hill Substation 115kV
1549,Los Esteros Substation 115kV
155,Oakland C 115kV substation
1550,Los Esteros 230 kV
1551,Mabury Tap 115kV
1552,Martin 115 kV
1553,Metcalf 230 kV
1554,Oakland J-Grant 115kV
1555,Pittsburg Substation 230kV
1557,Ripon 115 kV
156,Lugo-Pisgah 230kV line
1564,Trimble Substation 115kV
1565,Tulucay 60 kV
1569,Coalinga Cogen Tap 70kV
157,66kV Rosamond-Antelope line
1572,Gates Substation 230kV
1574,Panoche Substation 230 kV
1578,Henrietta Substation 230kV
158,66kV Rosamond-Delsur line
1584,Wilson-Oro Loma 115 kv
1585,Olive SW Station-Smyrna 115kV
1588,Diablo Canyon Switching Station 500kV
159,Antelope-Magunden #1 220kV line
1595,Midway 230kV
1597,Midway-Wheeler Ridge 230kV
1598,SOLARSS Switching Station
1599,Morro Bay Substation 230kV
159A,East County Substation 230 kV
16,Divide-Cabrillo #2 115kV line tap
160,Kramer
1605,Chino Substation 220kV
1606,Ellis Substation 220kV
1607,Etiwanda Substation 230kV
1608,Hinson Substation 230kV
1609,Hinson Substation 220kV
161,Harborgen Substation
1610,Johanna Substation 230 kV
1611,Laguna Bell Substation 230kV
1612,Rio Hondo Substation 230kV
1613,Rio Hondo Substation 220kV
1614,Johanna Substation 230 kV
1615,Walnut Substation 220kV
1619,Moorpark Substation 230 kV
162,Eldorado-Baker-Cool Water-Dunn Siding-Mountain Pass 115kV line
1629,Vincent Substation 230 kV
163,Mountain Pass Substation 115kV
1633,Windhub Substation 230 kV
1639,Devers Substation 230kV
164,Imperial Valley 230kV switchyard
1641,Etiwanda Substation 230kV
1644,San Bernardino Substation 220kV
1645,Valley Substation 500kV
1646,Valley Substation 500 kV
165,Pisgah 230kV Substation bus
1656,Bay-Boulevard 230kV
1657,Talega Substation 138 kV
1658,Imperial Valley Substation 230kV
1659,ECO 230kV
166,Midway-Morrow Bay 230kV line
1660,East County Substation 230 kV
1661,East County Substation 230 kV
1662,El Cajon Substation 69 kV
1664,Imperial Valley Substation 230 kV
1668,Mesa Heights Substation 69kV
1669,Pomerado Substation 69 kV
167,500kV line to Midpoint Switching Station
1670,Silvergate Substation 230 kV
1671,Point Loma Substation 69 kV
1673,Sycamore Canyon Substation 138 kV
1674,Sycamore Canyon Substation 230kV
1675,Valley Center Substation 69 kV
1676,Warners Substation 69kV
1677,Magunden
1679,Vincent Sub
168,Imperial Valley 500kV bus
1680,Whirlwind Substation
1682,Martin
1683,Contra Costa-Delta 230 kV Line
1685,Cayetano Substation 230kV
1688,Round Mountain 230 kV
169,Imperial Valley 230kV bus
1690,Vierra 115 kV
1694,Pittsburg Substation 60kV
1695,Atlantic 60 kV
1696,Vaca-Dixon Substation 500kV
1697,Ignacio Substation 230kV
1698,Los Esteros Substation 115kV
17,Colorado River Substation 500kV bus
170,Substation 5 (aka Whirlwind)
1700,Lakeville 60 kV
1701,Cottonwood Substation 115kV
1703,New Switchyard on Los Esteros-Trimble Line 115kV
1704,Rio Oso Substation 115kV
1705,Pittsburg 230 kV
1706,Paradise  Substation 115kV
1708,Metcalf Substation 230kV
171,Vaca-Tesla 500kV line
1712,Cheney #1 Tap 115kV Line
1713,GWF Hanford 115 kV
172,Tesla-Bellota 230kV lines
1720,Spence Substation 60kV
1727,Gates - Coalinga #2 Line 70kV
173,Pala 69kV Substation
1730,Morro Bay Substation 230kV
1731,Mesa Substation 115kV
1732,Mesa Substation 230kV
1733,Mesa Substation 230kV
1734,Midway-Taft 115kV line
1735,Santa Maria Cogen Tap 115kV Line
